Age,Age_Gap,Has_Own_House,Is_Spouse,Reco_Individual_Insurance,Reco_Policy_Premium,Holding_Policy_Duration,Holding_Policy_Type,Health_Indicator,Response,Reco_Policy_Groups,City_Group,Region_Group
39,0,0,0,1,7536,2,3,2,1,2,0,2
23,3,1,1,0,11610,5,1,1,0,1,3,11
19,38,0,0,0,27596,1,1,1,0,4,4,11
56,19,0,1,0,37878,0,0,4,0,0,0,11
29,0,0,0,1,6240,4,3,1,1,2,0,17
59,0,0,0,1,15312,2,1,1,0,3,3,7
70,0,0,0,1,15960,4,3,5,0,0,3,8
28,0,1,0,1,8764,3,2,1,1,3,4,13
49,0,0,0,1,15072,0,0,1,0,3,4,17
43,0,0,0,1,11250,6,3,3,0,3,3,5
28,0,0,0,1,6480,0,0,1,0,4,0,5
57,2,0,1,0,24908,1,3,3,0,0,2,7
20,2,1,1,0,7168,0,0,3,1,0,4,12
18,0,1,0,1,5944,0,0,1,0,0,2,1
31,0,1,0,1,10136,1,3,2,0,1,1,17
38,0,0,0,1,8302,8,2,4,0,1,0,6
62,0,0,0,1,21344,2,1,1,0,3,4,8
39,0,0,0,1,13060,11,3,1,1,2,0,2
30,0,1,0,1,8652,7,3,1,0,2,1,9
67,0,0,0,1,18048,9,3,1,0,3,3,5
58,0,0,0,1,16744,4,3,1,0,0,3,16
71,0,0,0,1,15262,14,1,2,0,3,3,17
30,5,1,0,0,10656,0,0,4,1,1,1,7
42,1,0,1,0,22536,3,1,1,0,1,0,1
68,0,0,0,1,14496,5,3,5,1,3,2,12
75,0,0,0,1,19290,0,0,1,0,0,1,8
19,0,1,0,1,5118,0,0,4,0,4,0,6
26,0,1,0,1,8792,0,0,1,0,1,3,6
66,0,0,0,1,16640,5,3,1,0,1,0,18
21,0,1,0,1,3696,0,0,1,0,1,1,6
75,0,1,0,1,20352,4,3,4,1,3,0,13
38,1,0,1,0,12014,15,3,4,1,2,4,8
73,2,0,1,0,29019,15,3,1,0,2,4,4
61,0,0,0,1,15990,1,3,2,0,1,0,13
75,0,0,0,1,19740,15,2,4,1,2,0,16
32,0,0,0,1,11772,4,3,4,0,3,2,14
32,31,1,1,0,27495,0,0,1,0,2,3,1
52,10,0,1,0,23692,0,0,2,1,3,3,3
29,0,1,0,1,4904,0,0,2,0,1,1,12
57,0,1,0,1,15574,3,1,3,0,4,4,17
49,25,0,1,0,32544,15,3,1,0,2,0,19
44,0,1,0,1,11740,15,1,3,0,1,3,8
49,0,1,0,1,13464,0,0,1,1,2,2,8
53,0,0,0,1,12900,1,2,2,0,2,2,3
26,0,1,0,1,10764,0,0,1,1,1,4,4
63,2,0,1,0,29280,1,4,5,0,1,0,13
16,35,0,0,0,26499,2,3,2,0,3,2,14
30,0,1,0,1,11682,4,3,2,0,2,2,6
32,0,1,0,1,11142,0,0,1,0,2,0,4
56,11,0,1,0,26342,0,0,2,1,4,3,11
49,2,1,1,0,20882,0,0,4,0,4,0,2
67,0,1,0,1,17836,0,0,1,0,3,0,14
19,0,1,0,1,2668,0,0,1,0,1,2,18
23,0,1,0,1,6380,0,0,1,0,2,2,18
30,0,0,0,1,11844,8,3,1,1,3,2,9
49,0,0,0,1,13464,3,3,3,0,1,2,11
30,0,1,0,1,10098,6,3,1,0,1,2,14
22,0,1,0,1,9254,0,0,1,1,3,4,9
72,0,1,0,1,17444,0,0,5,1,1,0,15
24,0,1,0,1,5768,2,3,3,0,0,0,16
49,0,0,0,1,17004,1,4,4,1,2,4,15
24,0,1,0,1,6540,0,0,3,0,0,2,15
49,0,0,0,1,10656,5,1,3,0,2,2,18
75,0,0,0,1,25308,3,3,1,0,4,0,9
75,0,0,0,1,21744,3,3,1,1,4,3,13
25,0,1,0,1,6110,5,1,3,0,0,3,14
41,0,1,0,1,11024,7,1,1,0,3,2,4
67,0,1,0,1,14832,5,1,3,0,0,0,0
60,15,1,0,0,27731,0,0,1,0,3,3,16
22,0,1,0,1,10336,2,3,1,0,4,2,2
75,0,1,0,1,25346,15,3,1,0,1,3,9
20,1,0,0,0,18216,0,0,1,0,0,4,1
49,1,0,1,0,24539,0,0,1,1,2,1,13
30,31,0,1,0,21840,5,1,2,1,3,2,16
58,0,1,0,1,18956,0,0,2,1,1,0,3
30,0,1,0,1,8076,0,0,1,0,0,0,11
51,4,0,1,0,16660,0,0,2,0,0,0,16
66,0,0,0,1,17368,6,3,3,1,2,3,9
27,0,1,0,1,10688,0,0,1,0,2,4,1
24,0,1,0,1,5840,1,1,1,0,1,0,11
23,0,1,0,1,3264,0,0,1,1,1,4,12
27,0,1,0,1,4848,0,0,1,1,1,0,19
58,0,0,0,1,16996,2,4,5,0,2,0,7
23,1,1,1,0,5463,0,0,2,0,0,3,6
55,0,0,0,1,17500,0,0,1,1,1,1,6
69,3,0,1,0,33264,15,3,2,1,2,1,16
75,0,0,0,1,18600,9,4,2,0,2,0,5
75,0,0,0,1,19552,0,0,5,1,0,3,19
29,0,1,0,1,9128,1,3,3,0,4,2,14
24,0,0,0,1,10048,4,4,3,0,3,3,7
50,0,0,0,1,16822,0,0,2,0,0,1,1
26,0,1,0,1,12726,1,3,1,0,0,2,1
71,3,0,1,0,30464,0,0,2,0,2,0,0
25,0,1,0,1,11392,0,0,2,0,1,3,8
22,0,1,0,1,4344,2,1,1,0,3,3,10
39,1,1,1,0,12275,3,2,1,0,0,4,17
25,0,1,0,1,9548,5,1,1,0,3,2,12
48,0,1,0,1,14160,0,0,5,1,1,4,18
53,0,0,0,1,14716,0,0,1,0,0,4,17
23,0,0,0,1,8652,0,0,1,0,1,2,10
27,0,0,0,1,10224,0,0,5,0,2,2,3
16,33,0,1,0,13608,3,3,1,0,1,4,7
52,0,1,0,1,11484,0,0,5,1,3,0,16
70,0,0,0,1,20706,0,0,1,1,2,0,19
28,3,0,1,0,13053,4,3,4,0,2,1,5
38,0,1,0,1,10350,0,0,1,0,0,4,5
19,0,1,0,1,8772,0,0,1,0,0,3,19
30,0,1,0,1,6756,0,0,2,0,0,4,14
61,3,0,1,0,22041,9,1,1,0,3,0,14
66,0,0,0,1,21080,9,3,3,0,2,4,6
26,0,1,0,1,6972,0,0,4,0,0,4,2
29,0,0,0,1,9536,0,0,1,0,3,4,12
34,0,1,0,1,12840,4,3,4,1,4,2,16
45,0,0,0,1,14036,15,3,1,1,4,0,12
23,3,0,1,0,10903,0,0,2,0,3,2,17
38,0,0,0,1,15312,13,3,5,0,0,0,0
32,1,1,1,0,12426,0,0,4,1,2,0,13
41,0,1,0,1,10592,3,1,4,0,1,0,9
45,3,0,1,0,19600,1,1,1,0,0,1,7
26,0,0,0,1,11070,0,0,2,0,1,0,10
22,0,1,0,1,6540,1,1,2,0,1,2,2
54,0,1,0,1,14400,15,3,2,1,2,2,6
27,0,0,0,1,6700,0,0,1,1,1,3,14
24,0,1,0,1,7812,0,0,2,1,3,3,11
26,0,1,0,1,7056,2,3,2,0,4,0,8
34,1,0,1,0,20192,5,3,4,0,3,0,3
20,34,0,1,0,20757,0,0,4,0,4,0,19
42,0,0,0,1,13926,15,1,1,0,3,4,2
38,0,1,0,1,13000,2,1,2,0,0,3,19
40,0,0,0,1,13090,0,0,4,0,4,4,16
23,33,0,1,0,21705,15,1,1,0,0,0,5
63,0,1,0,1,18512,0,0,1,1,3,4,9
75,0,0,0,1,23142,0,0,1,0,0,4,11
39,0,0,0,1,11484,0,0,4,0,3,2,9
30,0,1,0,1,6750,0,0,3,1,2,0,10
23,0,1,0,1,9282,1,2,1,0,4,2,16
21,1,0,1,0,6809,0,0,3,0,0,4,4
42,8,0,0,0,28313,0,0,1,0,1,4,8
22,0,1,0,1,7992,0,0,1,1,3,0,18
71,0,0,0,1,20256,0,0,3,0,4,0,12
64,1,0,1,0,21599,0,0,1,0,3,0,11
21,0,1,0,1,8792,0,0,1,0,4,4,19
35,0,1,0,1,14586,0,0,2,1,1,1,14
75,0,0,0,1,23400,3,4,4,0,0,0,5
37,11,0,1,0,22349,5,1,2,0,3,2,7
24,0,1,0,1,9632,4,3,1,1,3,0,9
62,0,1,0,1,14586,9,1,2,1,1,0,2
53,0,1,0,1,13220,0,0,4,0,1,0,13
23,0,0,0,1,4920,0,0,2,0,0,2,16
55,3,0,1,0,19790,0,0,2,0,2,4,6
52,0,0,0,1,14928,0,0,4,1,2,0,5
40,0,1,0,1,13420,3,2,4,0,3,2,9
52,0,0,0,1,14160,0,0,4,0,2,0,4
61,0,0,0,1,20800,11,1,3,0,3,0,13
66,0,0,0,1,19788,0,0,4,0,2,0,14
58,0,0,0,1,13508,5,1,3,0,1,4,19
71,0,0,0,1,17864,15,1,2,0,2,0,4
43,0,1,0,1,10112,12,1,1,0,4,0,4
26,0,1,0,1,6560,0,0,2,0,0,0,5
35,0,0,0,1,7356,11,1,1,0,1,0,9
50,0,0,0,1,11160,1,3,1,1,2,1,15
35,0,0,0,1,9648,5,3,1,0,0,2,1
28,0,1,0,1,10612,4,3,1,1,3,0,17
21,5,1,1,0,14918,0,0,1,0,0,2,14
48,0,0,0,1,10528,15,4,1,0,0,0,2
36,19,1,0,0,22422,7,2,2,0,2,1,11
37,0,0,0,1,7140,0,0,4,0,4,2,18
35,12,1,1,0,16027,1,1,5,0,2,2,1
74,0,0,0,1,21488,15,3,1,0,3,0,13
22,0,1,0,1,9282,0,0,1,1,4,1,0
50,0,1,0,1,11340,7,2,1,0,1,4,7
23,0,0,0,1,5440,0,0,4,0,3,2,5
19,21,1,0,0,17640,0,0,1,0,1,4,19
53,0,0,0,1,14712,0,0,2,1,1,0,15
75,0,0,0,1,23076,3,3,4,0,1,0,7
47,0,0,0,1,17394,0,0,1,0,3,0,13
19,25,1,0,0,26227,0,0,1,0,1,3,5
23,0,1,0,1,8974,0,0,1,0,3,2,3
50,7,1,1,0,22531,7,3,2,0,3,0,9
31,0,1,0,1,9366,1,1,1,1,3,4,5
39,0,1,0,1,7548,8,1,2,0,1,0,13
24,0,0,0,1,7104,0,0,5,0,3,3,17
30,0,1,0,1,10992,0,0,1,0,1,4,13
20,0,1,0,1,4008,0,0,1,0,3,4,9
45,0,0,0,1,12760,8,4,4,1,1,0,11
22,0,0,0,1,8568,0,0,1,1,1,2,4
27,0,0,0,1,6590,0,0,2,0,2,0,13
22,0,1,0,1,7716,0,0,2,1,4,4,10
26,0,1,0,1,11772,1,3,3,0,3,3,11
43,0,0,0,1,11440,11,3,1,0,0,3,7
35,0,1,0,1,8508,7,1,2,0,3,0,17
47,0,1,0,1,9568,0,0,1,1,1,2,14
51,0,0,0,1,16416,0,0,4,0,2,0,16
72,0,0,0,1,21984,7,3,4,0,3,0,3
27,0,0,0,1,4704,0,0,1,0,0,2,15
26,0,1,0,1,10944,0,0,3,0,4,0,18
40,0,0,0,1,12848,10,3,5,0,1,4,19
24,0,1,0,1,3960,0,0,1,0,1,0,19
60,0,0,0,1,14728,0,0,3,1,1,2,2
54,0,1,0,1,14064,0,0,1,0,3,4,14
27,0,1,0,1,11448,0,0,1,0,3,0,17
26,0,0,0,1,7020,4,1,1,0,0,4,15
22,0,1,0,1,6780,0,0,1,1,3,1,0
24,0,1,0,1,6290,0,0,1,0,0,2,2
22,53,0,0,0,32659,5,2,1,0,2,4,16
23,0,1,0,1,4896,0,0,1,1,4,4,4
35,0,1,0,1,9920,12,1,2,1,3,4,19
21,0,1,0,1,5368,0,0,3,0,1,0,17
60,0,1,0,1,15072,4,3,4,0,3,3,7
51,0,0,0,1,18116,15,2,2,1,2,4,17
26,0,0,0,1,6260,5,3,1,0,0,4,17
58,0,0,0,1,12140,0,0,2,1,0,0,6
39,5,0,0,0,17843,0,0,4,0,3,2,11
40,0,1,0,1,10496,7,4,4,0,1,1,0
42,13,0,1,0,21516,0,0,2,0,3,0,11
62,0,0,0,1,19776,0,0,1,0,4,0,6
19,31,0,1,0,21021,0,0,2,0,4,4,13
43,0,0,0,1,10288,14,3,1,1,4,0,9
23,0,1,0,1,4536,0,0,1,0,0,2,15
31,0,1,0,1,10136,9,1,1,0,0,0,5
65,0,1,0,1,18810,2,1,1,1,3,2,14
49,1,0,1,0,18633,5,4,5,0,0,3,17
21,0,1,0,1,6900,0,0,2,1,1,4,10
21,0,1,0,1,5352,0,0,2,0,2,1,14
25,0,1,0,1,7572,5,3,3,0,3,4,9
22,0,1,0,1,9926,0,0,4,1,4,0,16
58,2,0,1,0,22134,6,4,5,0,0,2,19
25,0,1,0,1,10832,0,0,2,0,3,0,1
23,0,1,0,1,7860,0,0,1,0,2,4,18
53,7,0,1,0,25116,1,1,1,0,1,0,0
33,0,1,0,1,8386,3,3,1,0,3,4,14
67,6,0,1,0,31046,2,3,1,1,3,3,0
19,29,0,0,0,19373,10,3,4,1,1,0,17
40,17,0,1,0,30060,1,1,1,0,1,4,9
25,0,1,0,1,11178,4,3,1,1,2,4,13
45,11,1,1,0,28896,2,1,1,0,3,3,1
55,0,0,0,1,12460,1,3,4,0,0,3,7
40,0,1,0,1,9254,0,0,1,1,4,2,7
67,0,0,0,1,18480,0,0,5,0,2,0,3
44,1,0,1,0,19470,6,3,4,0,0,2,19
43,1,0,1,0,21564,0,0,2,1,3,0,9
48,0,0,0,1,11628,4,1,1,0,3,4,3
41,0,0,0,1,11682,3,3,4,0,1,0,18
24,0,1,0,1,4944,0,0,5,0,4,2,1
56,0,0,0,1,15184,0,0,1,0,1,4,2
68,0,0,0,1,18656,3,1,1,0,2,4,0
64,0,1,0,1,18340,8,1,1,0,0,0,17
33,1,0,1,0,8764,0,0,1,0,1,2,8
59,0,0,0,1,14496,4,4,5,0,1,4,12
28,0,0,0,1,6460,1,3,1,1,4,0,5
75,0,0,0,1,16884,15,2,1,0,3,4,1
19,0,1,0,1,3984,0,0,1,0,0,4,18
25,0,1,0,1,4736,2,1,1,1,0,3,9
55,4,1,1,0,26796,14,3,1,0,4,0,19
25,0,1,0,1,6140,0,0,1,0,1,0,6
48,6,0,1,0,23520,3,3,2,0,2,3,4
47,0,1,0,1,11840,0,0,1,0,3,3,13
29,0,0,0,1,4464,1,2,1,0,3,2,6
27,31,0,0,0,23712,4,3,3,1,2,1,9
74,0,0,0,1,22134,4,2,1,0,3,4,8
53,0,1,0,1,15144,2,1,3,1,4,3,7
52,2,0,1,0,25500,3,3,2,1,3,3,10
25,0,1,0,1,5160,1,1,3,0,0,4,6
50,0,1,0,1,18452,0,0,3,1,2,0,4
27,0,1,0,1,8134,1,3,3,0,1,0,4
52,0,1,0,1,12978,10,1,1,0,0,0,12
37,0,0,0,1,13300,2,4,4,0,2,3,8
59,0,0,0,1,14410,15,3,1,0,2,0,14
52,2,0,1,0,23673,9,3,1,0,1,0,17
65,1,0,0,0,25344,1,3,1,0,4,0,4
24,0,1,0,1,4248,0,0,1,1,2,3,1
28,45,0,0,0,26873,14,2,2,1,1,3,15
68,0,0,0,1,19616,0,0,1,1,0,0,15
33,0,0,0,1,9744,10,3,2,0,0,2,7
23,0,1,0,1,7380,0,0,2,0,0,4,3
30,3,0,1,0,9060,0,0,1,0,4,2,5
69,5,0,1,0,22458,0,0,3,0,3,0,8
25,0,1,0,1,8330,0,0,3,0,1,4,16
18,30,0,0,0,20692,3,4,1,0,0,4,1
44,0,0,0,1,10782,1,4,1,0,2,2,5
65,0,0,0,1,18150,1,1,2,0,0,4,7
68,0,0,0,1,17376,11,3,2,0,0,4,13
23,0,1,0,1,7068,0,0,1,0,1,4,8
56,18,0,1,0,24318,0,0,1,0,3,4,6
51,0,1,0,1,14180,4,1,2,0,2,3,0
19,0,1,0,1,2936,0,0,1,0,4,2,15
35,0,1,0,1,9088,0,0,1,0,1,2,2
22,0,1,0,1,3966,0,0,1,1,4,2,17
61,0,1,0,1,13112,0,0,1,1,1,2,10
50,0,0,0,1,16120,0,0,1,1,4,3,11
16,19,0,0,0,17366,1,3,2,0,1,3,6
24,0,1,0,1,3420,0,0,1,0,1,2,6
24,0,1,0,1,4752,0,0,3,0,3,3,0
31,0,1,0,1,6960,0,0,1,0,4,0,0
61,0,0,0,1,15678,15,3,2,1,2,0,15
21,3,1,0,0,10802,1,4,1,1,1,0,1
40,0,0,0,1,13060,5,1,3,0,3,1,0
38,0,0,0,1,11160,14,3,1,0,0,2,10
47,0,0,0,1,12780,1,2,1,1,3,1,6
19,28,0,0,0,19602,0,0,1,0,0,0,16
36,0,1,0,1,12204,0,0,2,0,3,2,16
17,27,0,0,0,18176,7,1,1,1,4,0,5
53,7,0,1,0,25620,0,0,3,0,0,0,12
23,0,1,0,1,9170,3,3,1,0,2,0,5
29,0,1,0,1,6500,0,0,2,1,1,0,8
29,7,1,1,0,15120,2,2,2,1,3,4,6
28,0,1,0,1,10176,1,3,2,0,4,4,12
57,0,1,0,1,19080,0,0,1,0,2,3,1
40,0,1,0,1,14586,1,3,1,0,2,3,3
27,0,0,0,1,6970,0,0,1,1,3,4,10
43,0,0,0,1,13442,0,0,1,0,0,3,2
54,0,0,0,1,11322,0,0,2,0,3,4,11
75,0,0,0,1,16996,14,1,1,0,3,3,9
62,1,0,1,0,29025,15,3,1,1,0,0,12
28,0,0,0,1,9776,3,3,3,0,0,2,9
66,0,0,0,1,23052,0,0,3,0,3,2,7
28,0,0,0,1,11430,0,0,1,0,4,2,4
75,0,1,0,1,21896,11,1,2,0,2,2,1
66,5,0,1,0,30895,0,0,1,0,0,4,0
69,0,1,0,1,16608,0,0,1,0,1,0,9
57,2,0,1,0,22500,0,0,1,0,0,2,19
58,0,0,0,1,18150,0,0,5,1,3,3,4
40,0,1,0,1,7770,2,4,4,0,0,3,17
60,1,0,1,0,25776,0,0,2,0,0,4,17
23,0,1,0,1,6950,0,0,1,0,0,0,5
22,0,1,0,1,7380,0,0,1,1,3,3,4
38,2,1,1,0,14716,8,3,1,0,1,0,14
48,0,1,0,1,14608,4,2,5,1,0,0,6
24,2,1,1,0,8588,0,0,1,0,0,1,14
49,0,1,0,1,13752,7,1,1,0,1,4,14
55,0,0,0,1,14760,2,3,3,1,3,0,19
26,0,1,0,1,6600,4,3,1,0,3,2,16
22,0,1,0,1,8040,0,0,1,0,3,3,8
56,0,0,0,1,19290,13,3,2,0,4,0,18
51,0,0,0,1,10134,13,1,1,0,3,2,7
66,3,0,1,0,27308,10,3,2,0,1,4,8
22,0,1,0,1,5568,0,0,1,1,4,4,4
56,11,1,1,0,30321,1,3,1,0,2,4,12
57,0,0,0,1,16510,4,2,1,1,3,3,16
22,0,1,0,1,5408,0,0,1,1,4,0,9
23,0,1,0,1,5352,0,0,3,0,3,0,12
46,0,1,0,1,15744,1,4,1,0,2,0,11
73,0,1,0,1,20876,3,2,1,1,3,4,9
41,0,0,0,1,9280,3,3,1,0,3,4,6
55,0,0,0,1,15168,14,2,3,0,3,4,7
49,0,0,0,1,14496,0,0,1,0,0,2,11
22,0,1,0,1,10800,0,0,1,0,4,4,18
23,0,1,0,1,10592,0,0,1,1,1,0,18
64,0,1,0,1,21952,1,2,1,0,4,2,15
44,26,0,0,0,26640,1,3,4,0,0,2,9
21,0,1,0,1,3456,0,0,1,1,1,4,0
22,0,1,0,1,7860,1,1,1,0,4,0,7
31,0,1,0,1,7416,0,0,1,0,1,4,1
25,6,0,1,0,18333,4,3,1,0,3,0,3
39,0,1,0,1,12582,6,2,1,0,3,2,19
23,0,1,0,1,10048,0,0,5,0,4,4,12
47,3,0,1,0,17970,1,1,4,0,0,4,1
58,2,0,1,0,18916,4,3,1,0,3,0,7
24,0,1,0,1,10688,0,0,1,0,2,2,9
54,3,0,1,0,20232,6,4,1,0,1,2,6
55,1,0,1,0,20952,0,0,1,0,2,3,12
39,0,1,0,1,6468,0,0,1,0,1,2,1
73,0,0,0,1,21182,0,0,1,0,0,3,0
52,0,1,0,1,14928,0,0,2,0,3,4,0
53,0,0,0,1,16800,0,0,1,0,2,3,12
75,0,1,0,1,18396,4,3,2,0,3,0,14
41,0,1,0,1,11484,2,3,1,0,3,4,11
60,0,0,0,1,18944,2,3,1,0,2,0,7
53,0,0,0,1,16458,1,4,3,0,2,0,15
21,0,1,0,1,6300,0,0,1,0,0,3,15
56,0,0,0,1,17332,0,0,1,1,4,0,12
51,0,0,0,1,11232,2,3,1,0,4,3,18
30,0,1,0,1,7800,4,2,1,0,1,0,15
23,0,1,0,1,4152,3,1,4,0,0,3,13
25,0,0,0,1,12582,1,4,4,0,0,0,10
57,0,0,0,1,14040,2,3,1,1,1,2,7
