,Age,Age_Gap,Has_Own_House,Is_Spouse,Reco_Individual_Insurance,Reco_Policy_Premium,Holding_Policy_Duration,Holding_Policy_Type,Health_Indicator,Reco_Policy_Cat,City_Code,Region_Code,Response
130,25,0,1,0,1,4912,2,3,3,21,2,925,1
131,46,0,1,0,1,13320,6,3,1,1,8,5314,0
132,63,0,0,0,1,18450,0,0,2,17,12,2224,0
133,35,0,0,0,1,8302,15,1,2,22,1,843,0
134,39,0,0,0,1,7536,2,3,2,18,2,154,1
135,23,3,1,1,0,11610,5,1,1,15,15,1680,0
136,19,38,0,0,0,27596,1,1,1,22,16,1739,0
137,56,19,0,1,0,37878,0,0,4,5,1,1653,0
138,29,0,0,0,1,6240,4,3,1,18,1,3588,1
139,59,0,0,0,1,15312,2,1,1,20,13,996,0
140,70,0,0,0,1,15960,4,3,6,4,9,1152,0
141,28,0,1,0,1,8764,3,2,1,21,16,2271,1
142,49,0,0,0,1,15072,0,0,1,19,24,3782,0
143,43,0,0,0,1,11250,6,3,3,21,13,626,0
144,28,0,0,0,1,6480,0,0,1,22,1,534,0
145,57,2,0,1,0,24908,1,3,3,7,4,897,0
146,20,2,1,1,0,7168,0,0,3,5,16,2009,1
147,18,0,1,0,1,5944,0,0,1,6,4,153,0
148,31,0,1,0,1,10136,1,3,2,16,3,3815,0
149,38,0,0,0,1,8302,8,2,4,11,2,746,0
150,62,0,0,0,1,21344,2,1,1,19,18,1178,0
151,39,0,0,0,1,13060,11,3,1,18,1,210,1
152,30,0,1,0,1,8652,7,3,1,18,3,1315,0
153,67,0,0,0,1,18048,9,3,1,20,11,662,0
154,58,0,0,0,1,16744,4,3,1,9,14,3127,0
155,71,0,0,0,1,15262,14,1,2,19,11,3591,0
156,30,5,1,0,0,10656,0,0,4,12,3,955,1
157,42,1,0,1,0,22536,3,1,1,16,1,68,0
158,68,0,0,0,1,14496,5,3,5,21,4,1953,1
159,75,0,0,0,1,19290,0,0,1,6,3,1125,0
160,19,0,1,0,1,5118,0,0,4,22,2,832,0
161,26,0,1,0,1,8792,0,0,1,16,11,694,0
162,66,0,0,0,1,16640,5,3,1,14,2,4046,0
163,21,0,1,0,1,3696,0,0,1,15,3,783,0
164,75,0,1,0,1,20352,4,3,4,21,2,2242,1
165,38,1,0,1,0,12014,15,3,4,17,27,1176,1
166,73,2,0,1,0,29019,15,3,1,18,22,472,0
167,61,0,0,0,1,15990,1,3,2,11,2,2169,0
168,75,0,0,0,1,19740,15,2,4,17,1,3395,1
169,32,0,0,0,1,11772,4,3,4,21,6,2385,0
170,32,31,1,1,0,27495,0,0,1,18,10,124,0
171,52,10,0,1,0,23692,0,0,2,19,11,319,1
172,29,0,1,0,1,4904,0,0,2,12,3,2090,0
173,57,0,1,0,1,15574,3,1,3,22,19,3476,0
174,49,25,0,1,0,32544,15,3,1,18,2,4659,0
175,44,0,1,0,1,11740,15,1,3,16,9,1183,0
176,49,0,1,0,1,13464,0,0,1,18,8,1042,1
177,53,0,0,0,1,12900,1,2,2,17,6,377,0
178,26,0,1,0,1,10764,0,0,1,15,18,513,1
179,63,2,0,1,0,29280,1,4,5,16,1,2342,0
180,16,35,0,0,0,26499,2,3,2,21,7,2503,0
181,30,0,1,0,1,11682,4,3,2,18,7,685,0
182,32,0,1,0,1,11142,0,0,1,18,1,461,0
183,56,11,0,1,0,26342,0,0,2,22,9,1712,1
184,49,2,1,1,0,20882,0,0,4,22,2,194,0
185,67,0,1,0,1,17836,0,0,1,20,1,2398,0
186,19,0,1,0,1,2668,0,0,1,15,4,4429,0
187,23,0,1,0,1,6380,0,0,1,18,4,3978,0
188,30,0,0,0,1,11844,8,3,1,21,7,1210,1
189,49,0,0,0,1,13464,3,3,3,12,4,1798,0
190,30,0,1,0,1,10098,6,3,1,12,4,2583,0
191,22,0,1,0,1,9254,0,0,1,19,16,1262,1
192,72,0,1,0,1,17444,0,0,6,14,2,2982,1
193,24,0,1,0,1,5768,2,3,3,3,2,3340,0
194,49,0,0,0,1,17004,1,4,4,17,33,2757,1
195,24,0,1,0,1,6540,0,0,3,9,6,2994,0
196,49,0,0,0,1,10656,5,1,3,18,4,3962,0
197,75,0,0,0,1,25308,3,3,1,22,1,1327,0
198,75,0,0,0,1,21744,3,3,1,22,11,2340,1
199,25,0,1,0,1,6110,5,1,3,4,9,2406,0
200,41,0,1,0,1,11024,7,1,1,20,5,514,0
201,67,0,1,0,1,14832,5,1,3,5,1,8,0
202,60,15,1,0,0,27731,0,0,1,19,11,3372,0
203,22,0,1,0,1,10336,2,3,1,22,6,231,0
204,75,0,1,0,1,25346,15,3,1,16,9,1358,0
205,20,1,0,0,0,18216,0,0,1,6,34,67,0
206,49,1,0,1,0,24539,0,0,1,18,3,2232,1
207,30,31,0,1,0,21840,5,1,2,19,7,3350,1
208,58,0,1,0,1,18956,0,0,2,16,2,302,1
209,30,0,1,0,1,8076,0,0,1,7,1,1732,0
210,51,4,0,1,0,16660,0,0,2,7,1,3061,0
211,66,0,0,0,1,17368,6,3,3,18,15,1342,1
212,27,0,1,0,1,10688,0,0,1,18,23,80,0
213,24,0,1,0,1,5840,1,1,1,12,1,1647,0
214,23,0,1,0,1,3264,0,0,1,14,20,1939,1
215,27,0,1,0,1,4848,0,0,1,12,1,5127,1
216,58,0,0,0,1,16996,2,4,5,17,2,910,0
217,23,1,1,1,0,5463,0,0,2,4,9,703,0
218,55,0,0,0,1,17500,0,0,1,16,3,748,1
219,69,3,0,1,0,33264,15,3,2,18,3,3029,1
220,75,0,0,0,1,18600,9,4,2,17,2,599,0
221,75,0,0,0,1,19552,0,0,5,8,13,5742,1
222,29,0,1,0,1,9128,1,3,3,22,6,2391,0
223,24,0,0,0,1,10048,4,4,3,21,9,915,0
224,50,0,0,0,1,16822,0,0,2,2,3,71,0
225,26,0,1,0,1,12726,1,3,1,9,5,75,0
226,71,3,0,1,0,30464,0,0,2,18,1,4,0
227,25,0,1,0,1,11392,0,0,2,15,12,1062,0
228,22,0,1,0,1,4344,2,1,1,21,15,1579,0
229,39,1,1,1,0,12275,3,2,1,1,18,3646,0
230,25,0,1,0,1,9548,5,1,1,21,6,1983,0
231,48,0,1,0,1,14160,0,0,6,12,28,4277,1
232,53,0,0,0,1,14716,0,0,1,1,17,3707,0
233,23,0,0,0,1,8652,0,0,1,10,4,1534,0
234,27,0,0,0,1,10224,0,0,6,18,4,320,0
235,16,33,0,1,0,13608,3,3,1,14,19,909,0
236,52,0,1,0,1,11484,0,0,6,20,1,3395,1
237,70,0,0,0,1,20706,0,0,1,17,1,4756,1
238,28,3,0,1,0,13053,4,3,4,18,3,567,0
239,38,0,1,0,1,10350,0,0,1,1,28,605,0
240,19,0,1,0,1,8772,0,0,1,1,12,4919,0
241,30,0,1,0,1,6756,0,0,2,1,19,2444,0
242,61,3,0,1,0,22041,9,1,1,19,1,2383,0
243,66,0,0,0,1,21080,9,3,3,18,26,829,0
244,26,0,1,0,1,6972,0,0,4,1,17,188,0
245,29,0,0,0,1,9536,0,0,1,19,19,2047,0
246,34,0,1,0,1,12840,4,3,4,22,7,3166,1
247,45,0,0,0,1,14036,15,3,1,22,2,1934,1
248,23,3,0,1,0,10903,0,0,2,21,5,3842,0
249,38,0,0,0,1,15312,13,3,5,8,1,46,0
250,32,1,1,1,0,12426,0,0,4,18,2,2194,1
251,41,0,1,0,1,10592,3,1,4,12,2,1276,0
252,45,3,0,1,0,19600,1,1,1,9,3,851,0
253,26,0,0,0,1,11070,0,0,2,16,1,1545,0
254,22,0,1,0,1,6540,1,1,2,15,4,191,0
255,54,0,1,0,1,14400,15,3,2,17,4,742,1
256,27,0,0,0,1,6700,0,0,1,16,15,2550,1
257,24,0,1,0,1,7812,0,0,2,21,11,1770,1
258,26,0,1,0,1,7056,2,3,2,22,1,1128,0
259,34,1,0,1,0,20192,5,3,4,21,2,316,0
260,20,34,0,1,0,20757,0,0,4,22,2,4734,0
261,42,0,0,0,1,13926,15,1,1,19,17,160,0
262,38,0,1,0,1,13000,2,1,2,4,9,5146,0
263,40,0,0,0,1,13090,0,0,4,22,20,3165,0
264,23,33,0,1,0,21705,15,1,1,1,1,581,0
265,63,0,1,0,1,18512,0,0,1,19,19,1380,1
266,75,0,0,0,1,23142,0,0,1,1,19,1652,0
267,39,0,0,0,1,11484,0,0,4,21,5,1232,0
268,30,0,1,0,1,6750,0,0,3,18,1,1561,1
269,23,0,1,0,1,9282,1,2,1,22,4,3198,0
270,21,1,0,1,0,6809,0,0,3,2,17,420,0
271,42,8,0,0,0,28313,0,0,1,16,17,1040,0
272,22,0,1,0,1,7992,0,0,1,20,1,3886,1
273,71,0,0,0,1,20256,0,0,3,22,2,2019,0
274,64,1,0,1,0,21599,0,0,1,20,1,1647,0
275,21,0,1,0,1,8792,0,0,1,22,16,4742,0
276,35,0,1,0,1,14586,0,0,2,16,3,2628,1
277,75,0,0,0,1,23400,3,4,4,3,2,654,0
278,37,11,0,1,0,22349,5,1,2,19,7,919,0
279,24,0,1,0,1,9632,4,3,1,21,2,1306,1
280,62,0,1,0,1,14586,9,1,2,11,2,154,1
281,53,0,1,0,1,13220,0,0,4,12,2,2364,0
282,23,0,0,0,1,4920,0,0,2,1,8,3208,0
283,55,3,0,1,0,19790,0,0,2,18,22,711,0
284,52,0,0,0,1,14928,0,0,4,17,1,616,1
285,40,0,1,0,1,13420,3,2,4,21,4,1333,0
286,52,0,0,0,1,14160,0,0,4,17,1,497,0
287,61,0,0,0,1,20800,11,1,3,19,1,2272,0
288,66,0,0,0,1,19788,0,0,4,17,1,2467,0
289,58,0,0,0,1,13508,5,1,3,13,21,5225,0
290,71,0,0,0,1,17864,15,1,2,18,1,461,0
291,43,0,1,0,1,10112,12,1,1,22,1,434,0
292,26,0,1,0,1,6560,0,0,2,3,2,568,0
293,35,0,0,0,1,7356,11,1,1,16,1,1368,0
294,50,0,0,0,1,11160,1,3,1,17,3,2763,1
295,35,0,0,0,1,9648,5,3,1,6,4,139,0
296,28,0,1,0,1,10612,4,3,1,20,2,3812,1
297,21,5,1,1,0,14918,0,0,1,5,5,2376,0
298,48,0,0,0,1,10528,15,4,1,5,1,171,0
299,36,19,1,0,0,22422,7,2,2,18,3,1821,0
300,37,0,0,0,1,7140,0,0,4,22,4,4032,0
301,35,12,1,1,0,16027,1,1,6,18,4,70,0
302,74,0,0,0,1,21488,15,3,1,19,1,2272,0
303,22,0,1,0,1,9282,0,0,1,22,3,55,1
304,50,0,1,0,1,11340,7,2,1,12,17,1013,0
305,23,0,0,0,1,5440,0,0,4,21,6,667,0
306,19,21,1,0,0,17640,0,0,1,13,21,4870,0
307,53,0,0,0,1,14712,0,0,2,15,2,2903,1
308,75,0,0,0,1,23076,3,3,4,14,2,864,0
309,47,0,0,0,1,17394,0,0,1,21,2,2152,0
310,19,25,1,0,0,26227,0,0,1,14,9,540,0
311,23,0,1,0,1,8974,0,0,1,19,7,274,0
312,50,7,1,1,0,22531,7,3,2,20,1,1383,0
313,31,0,1,0,1,9366,1,1,1,19,19,655,1
314,39,0,1,0,1,7548,8,1,2,16,1,2222,0
315,24,0,0,0,1,7104,0,0,6,21,11,3443,0
316,30,0,1,0,1,10992,0,0,1,16,18,2187,0
317,20,0,1,0,1,4008,0,0,1,19,25,1266,0
318,45,0,0,0,1,12760,8,4,4,15,2,1707,1
319,22,0,0,0,1,8568,0,0,1,15,7,389,1
320,27,0,0,0,1,6590,0,0,2,18,2,2329,0
321,22,0,1,0,1,7716,0,0,2,22,18,1546,1
322,26,0,1,0,1,11772,1,3,3,21,10,1796,0
323,43,0,0,0,1,11440,11,3,1,4,9,967,0
324,35,0,1,0,1,8508,7,1,2,19,1,3635,0
325,47,0,1,0,1,9568,0,0,1,12,7,2588,1
326,51,0,0,0,1,16416,0,0,4,18,2,3241,0
327,72,0,0,0,1,21984,7,3,4,21,1,268,0
328,27,0,0,0,1,4704,0,0,1,4,7,2904,0
329,26,0,1,0,1,10944,0,0,3,22,1,4160,0
330,40,0,0,0,1,12848,10,3,5,14,21,5153,0
331,24,0,1,0,1,3960,0,0,1,14,2,5294,0
332,60,0,0,0,1,14728,0,0,3,12,7,196,1
333,54,0,1,0,1,14064,0,0,1,21,20,2510,0
334,27,0,1,0,1,11448,0,0,1,21,2,3420,0
335,26,0,0,0,1,7020,4,1,1,1,17,2978,0
336,22,0,1,0,1,6780,0,0,1,21,3,28,1
337,24,0,1,0,1,6290,0,0,1,7,4,199,0
338,22,53,0,0,0,32659,5,2,1,17,18,3328,0
339,23,0,1,0,1,4896,0,0,1,22,20,414,1
340,35,0,1,0,1,9920,12,1,2,20,21,5203,1
341,21,0,1,0,1,5368,0,0,3,13,2,3839,0
342,60,0,1,0,1,15072,4,3,4,21,9,995,0
343,51,0,0,0,1,18116,15,2,2,18,17,3742,1
344,26,0,0,0,1,6260,5,3,1,4,27,3469,0
345,58,0,0,0,1,12140,0,0,2,3,2,746,1
346,39,5,0,0,0,17843,0,0,4,19,4,1638,0
347,40,0,1,0,1,10496,7,4,4,16,3,41,0
348,42,13,0,1,0,21516,0,0,2,21,1,1819,0
349,62,0,0,0,1,19776,0,0,1,22,2,832,0
350,19,31,0,1,0,21021,0,0,2,22,18,2187,0
351,43,0,0,0,1,10288,14,3,1,22,2,1322,1
352,23,0,1,0,1,4536,0,0,1,1,6,2786,0
353,31,0,1,0,1,10136,9,1,1,3,2,560,0
354,65,0,1,0,1,18810,2,1,1,19,4,2658,1
355,49,1,0,1,0,18633,5,4,5,4,9,3503,0
356,21,0,1,0,1,6900,0,0,2,16,22,1511,1
357,21,0,1,0,1,5352,0,0,2,18,3,2593,0
358,25,0,1,0,1,7572,5,3,3,20,23,1374,0
359,22,0,1,0,1,9926,0,0,4,22,2,3400,1
360,58,2,0,1,0,22134,6,4,8,2,7,5777,0
361,25,0,1,0,1,10832,0,0,2,19,1,142,0
362,23,0,1,0,1,7860,0,0,1,18,21,4399,0
363,53,7,0,1,0,25116,1,1,1,16,1,5,0
364,33,0,1,0,1,8386,3,3,1,21,25,2451,0
365,67,6,0,1,0,31046,2,3,1,21,9,10,1
366,19,29,0,0,0,19373,10,3,4,15,2,3728,1
367,40,17,0,1,0,30060,1,1,1,16,18,1238,0
368,25,0,1,0,1,11178,4,3,1,18,22,2108,1
369,45,11,1,1,0,28896,2,1,1,19,12,84,0
370,55,0,0,0,1,12460,1,3,4,4,9,1009,0
371,40,0,1,0,1,9254,0,0,1,22,4,942,1
372,67,0,0,0,1,18480,0,0,5,17,1,300,0
373,44,1,0,1,0,19470,6,3,4,1,8,5240,0
374,43,1,0,1,0,21564,0,0,2,21,1,1260,1
375,48,0,0,0,1,11628,4,1,1,20,17,328,0
376,41,0,0,0,1,11682,3,3,4,14,2,4300,0
377,24,0,1,0,1,4944,0,0,6,22,6,122,0
378,56,0,0,0,1,15184,0,0,1,12,17,200,0
379,68,0,0,0,1,18656,3,1,1,18,23,1,0
380,64,0,1,0,1,18340,8,1,1,2,2,3598,0
381,33,1,0,1,0,8764,0,0,1,13,8,1042,0
382,59,0,0,0,1,14496,4,4,7,16,33,2063,0
383,28,0,0,0,1,6460,1,3,1,22,2,661,1
384,75,0,0,0,1,16884,15,2,1,21,26,88,0
385,19,0,1,0,1,3984,0,0,1,2,33,4027,0
386,25,0,1,0,1,4736,2,1,1,2,10,1253,1
387,55,4,1,1,0,26796,14,3,1,22,1,4529,0
388,25,0,1,0,1,6140,0,0,1,16,1,697,0
389,48,6,0,1,0,23520,3,3,2,18,10,405,0
390,47,0,1,0,1,11840,0,0,1,20,11,2099,0
391,29,0,0,0,1,4464,1,2,1,21,6,830,0
392,27,31,0,0,0,23712,4,3,3,18,3,1243,1
393,74,0,0,0,1,22134,4,2,1,20,24,1104,0
394,53,0,1,0,1,15144,2,1,3,22,15,902,1
395,52,2,0,1,0,25500,3,3,2,21,11,1590,1
396,25,0,1,0,1,5160,1,1,3,1,28,762,0
397,50,0,1,0,1,18452,0,0,3,18,2,463,1
398,27,0,1,0,1,8134,1,3,3,16,1,410,0
399,52,0,1,0,1,12978,10,1,1,3,2,1834,0
400,37,0,0,0,1,13300,2,4,4,17,9,1022,0
401,59,0,0,0,1,14410,15,3,1,17,2,2613,0
402,52,2,0,1,0,23673,9,3,1,16,2,3839,0
403,65,1,0,0,0,25344,1,3,1,22,2,412,0
404,24,0,1,0,1,4248,0,0,1,17,9,103,1
405,28,45,0,0,0,26873,14,2,2,12,9,2712,1
406,68,0,0,0,1,19616,0,0,1,3,2,2768,1
407,33,0,0,0,1,9744,10,3,2,5,7,961,0
408,23,0,1,0,1,7380,0,0,2,8,16,309,0
409,30,3,0,1,0,9060,0,0,1,22,6,536,0
410,69,5,0,1,0,22458,0,0,3,19,1,1101,0
411,25,0,1,0,1,8330,0,0,3,10,16,3126,0
412,18,30,0,0,0,20692,3,4,1,6,34,67,0
413,44,0,0,0,1,10782,1,4,1,18,4,628,0
414,65,0,0,0,1,18150,1,1,2,1,19,988,0
415,68,0,0,0,1,17376,11,3,2,2,19,2111,0
416,23,0,1,0,1,7068,0,0,1,14,27,1176,0
417,56,18,0,1,0,24318,0,0,1,19,19,744,0
418,51,0,1,0,1,14180,4,1,2,18,10,29,0
419,19,0,1,0,1,2936,0,0,1,22,7,2829,0
420,35,0,1,0,1,9088,0,0,1,15,6,167,0
421,22,0,1,0,1,3966,0,0,1,22,7,3453,1
422,61,0,1,0,1,13112,0,0,1,15,7,1497,1
423,50,0,0,0,1,16120,0,0,1,22,9,1788,1
424,16,19,0,0,0,17366,1,3,2,14,11,750,0
425,24,0,1,0,1,3420,0,0,1,13,6,824,0
426,24,0,1,0,1,4752,0,0,3,21,11,53,0
427,31,0,1,0,1,6960,0,0,1,22,1,62,0
428,61,0,0,0,1,15678,15,3,2,18,2,2853,1
429,21,3,1,0,0,10802,1,4,1,14,2,107,1
430,40,0,0,0,1,13060,5,1,3,19,3,42,0
431,38,0,0,0,1,11160,14,3,1,6,4,1472,0
432,47,0,0,0,1,12780,1,2,1,20,3,835,1
433,19,28,0,0,0,19602,0,0,1,5,1,3055,0
434,36,0,1,0,1,12204,0,0,2,19,5,3123,0
435,17,27,0,0,0,18176,7,1,1,22,1,578,1
436,53,7,0,1,0,25620,0,0,3,8,1,2026,0
437,23,0,1,0,1,9170,3,3,1,18,1,527,0
438,29,0,1,0,1,6500,0,0,2,16,1,1149,1
439,29,7,1,1,0,15120,2,2,2,21,20,701,1
440,28,0,1,0,1,10176,1,3,2,22,20,1893,0
441,57,0,1,0,1,19080,0,0,1,17,11,98,0
442,40,0,1,0,1,14586,1,3,1,18,9,358,0
443,27,0,0,0,1,6970,0,0,1,19,19,1408,1
444,43,0,0,0,1,13442,0,0,1,4,9,157,0
445,54,0,0,0,1,11322,0,0,2,19,18,1773,0
446,75,0,0,0,1,16996,14,1,1,20,13,1381,0
447,62,1,0,1,0,29025,15,3,1,3,2,1986,1
448,28,0,0,0,1,9776,3,3,3,4,6,1251,0
449,66,0,0,0,1,23052,0,0,3,19,7,898,0
450,28,0,0,0,1,11430,0,0,1,22,4,481,0
451,75,0,1,0,1,21896,11,1,2,18,4,70,0
452,66,5,0,1,0,30895,0,0,1,5,16,22,0
453,69,0,1,0,1,16608,0,0,1,13,1,1289,0
454,57,2,0,1,0,22500,0,0,1,5,8,5112,0
455,58,0,0,0,1,18150,0,0,7,20,11,480,1
456,40,0,1,0,1,7770,2,4,4,2,9,3760,0
457,60,1,0,1,0,25776,0,0,2,1,22,3406,0
458,23,0,1,0,1,6950,0,0,1,3,2,646,0
459,22,0,1,0,1,7380,0,0,1,21,9,518,1
460,38,2,1,1,0,14716,8,3,1,11,2,2613,0
461,48,0,1,0,1,14608,4,2,6,2,2,746,1
462,24,2,1,1,0,8588,0,0,1,9,3,2386,0
463,49,0,1,0,1,13752,7,1,1,13,16,2573,0
464,55,0,0,0,1,14760,2,3,3,21,2,5002,1
